pairid	sentid	comparison	sentence	source
2	1	expected	"De tanto ter que esperar vir de você
A força de vontade que me faz querer subir
Tentei acreditar que tudo pode ser como era antes
E que se eu mudar eu vou ser mais feliz
Tentaram me afastar de muitas coisas que gostei
Mesmo quando o problema era só meu
Será que estar bem é causar inveja a quem?
Ao invés de ajudar sempre me atrapalhou
Nunca me importou o que os outros vão pensar de mim
Não são suas idéias fracas que me fazem querer cair
Se acaso eu esquecer de te dizer que eu já sou feliz
É porque você nunca me fez falta..
aqui
Lembrando aquele tempo que ficou pra trás
E a história que me fez chegar aqui
Percebi que minhas promessas saíram do lugar
Perderam todo o espaço pras vezes que menti
Mesmo estando no caminho certo eu me perguntei
Se vale a pena passar por tudo que passei
E dizer que tudo que fiz no fim não foi por ninguém
Que valesse por todas pedras que pisei
Acho que nunca me importou o que os outros vão pensar
De mim
Não são suas idéias fracas que me fazem querer cair
Se acaso eu esquecer de te dizer que eu já sou feliz
É porque você nunca me fez falta..
aqui"	pt
2	1	expected	"Alguém precisa dizer
Todos devem se calar
Eles darão novas respostas
E onde encontrar
A preços baixos juros altos
Sem saldo devedor
Não há quase nenhum risco
Aproveite a cotação
É tão simples e didático
Perca menos, ganhe mais
Esse é o jogo democrático
O que a maioria quer
Está bem perto
Miséria vai nos redimir
Você precisa acreditar
Pois eles sabem que é melhor
Aperte o cinto eles disseram
Todos devem cooperar
Novas taxas velhos hábitos
Baixa estima e pouca informação
É tão simples e didático
Perca menos, ganhe mais
Esse é o jogo democrático
O que a maioria quer
Bancos vão acreditar
Que não vai poder jogar
Muitos bancos vão lucrar...vão lucrar...
Será na próxima eleição
Não pare, não hesite
Não existe outra solução...
Você é só mais uma peça
Subestimado, amedrontado
No seu devido lugar...
Está bem perto
Miséria vai nos redimir"	pt
2	1	expected	"Se as meninas do Leblon
Não olham mais pra mim.
Eu uso óculos
E volta e meia
Eu entro com meu carro pela contramão
Eu to sem óculos
Se eu to alegre
Eu ponho os óculos e vejo tudo bem
Mas se eu to triste eu tiro os óculos
Eu não vejo ninguém

Por que você não olha pra mim?
Me diz o que é que eu tenho de mal
Por que você não olha pra mim?
Por trás dessa lente tem um cara legal...
Eu decidi dizer que eu nunca fui o tal
Era mais jogo se eu tentasse
fazer charme de intelectual
Se eu te disser
Periga você não acreditar em mim.
Eu não nasci de óculos...
Eu não era assim...
Por que você não olha pra mim?
Me diz o que e que eu tenho de mal.
Por que você não olha pra mim?
Por trás dessa lente tem um cara legal.
Por que você não olha pra mim?
Por que você diz sempre que não?
Por que você não olha pra mim?
Por trás dessa lente tambem bate um coração."	pt
3	1	expected	"Tu calor sobre la almohada
Se esfumó y hoy me hace falta
Los recuerdos no me dejan ver
Que nada volverá a ser como ayer
Como ayer
El dolor me desarma
Y llorar ya no me calma
Poco a poco empiezo a enlouquecer
Y no se que podrá venir después
Después
(refrão)
Puede que me ciegue la fe
Pero vuelvo a creer
Que esto no se acaba
Sueño que te intento besar
Y me vuelvo a quemar
La vida se me escapa
Y aunque cada vez dueles más
No te quiero olvidar
Hoy que no
No queda nada
De un amor
Que se apaga
Poco a poco empiezo a comprender
Que no me queda tanto que perder
Que perder
(refrão)
Puede que me ciegue la fe
Pero vuelvo a creer
Que esto no se acaba
Sueño que te intento besar
Y me vuelvo a quemar
La vida se me escapa
Y aunque cada vez dueles más
No te quiero olvidar
Y miro el reloj
Empiezo a aceptar que el tiempo me atrapa
Y en un segundo finjo que me quiero escapar
Pero vuelvo por más, y al final ya no hay más
(refrão)
Puede que me ciegue la fe
Pero vuelvo a creer
Que esto no se acaba
Sueño que te intento besar
Y me vuelvo a quemar
La vida se me escapa
Y aunque cada vez dueles más
En mi alma
Y aunque cada vez dueles más
No te quiero olvidar
No te quiero olvidar"	es
3	1	expected	"TODO MI ORO
(TODO MEU OURO)
Bruno Fortunato / George Israel / Paula Toller
De lejos solo pienso en tí,
y con los ojos cerrados,
te veo al lado respirando,
y tu calor me va quemando.
Te noto cerca de mi frente,
te siento respirar -aquí en mi mente-
te vuelvo a ver en todas partes,
te tengo, aquí estás.
Y deseo el deseo,
del peligro de amar de nuevo.
Un mar de lava incandescente,
de pronto deja ver,
que quiero ese misterio siempre,
que no te perderé, no.
Y deseo el peligro,
del deseo de amar de nuevo.
Arriesgo todo mi oro,
doy mi amor como garantía,
para encontrar un tesoro
en la bisutería"	es
2	1	expected	"Sinais de vida no país vizinho
Eu já não ando mais sozinho
Toca o telefone,
Chega um telegrama enfim
Ouvimos qualquer coisa de Brasília
Rumores falam em guerrilha
Foto no jornal,
Cadeia nacional
Viola o canto ingênuo do caboclo
Caiu o santo do pau oco
Foge pro riacho,
Foge que eu te acho sim
Fulano se atirou da ponte aérea
Não agüentou fila de espera
Apertar os cintos,
Preparar pra descolar
Nos chegam gritos da Ilha do Norte
Ensaios pra Dança da Morte
Tem disco pirata,
Tem vídeo cassete até
Agora a China bebe Coca-Cola
Aqui na esquina cheiram cola
Bio degradante
Aromatizante tem"	pt
2	1	expected	"Não me convidaram
Pra essa festa pobre
Que os homens armaram pra me convencer
A pagar sem ver
Toda essa droga
Que já vem malhada antes de eu nascer
Não me ofereceram
Nem um cigarro
Fiquei na porta estacionando os carros
Não me elegeram
Chefe de nada
O meu cartão de crédito é uma navalha
Brasil
Mostra tua cara
Quero ver quem paga
Pra gente ficar assim
Brasil
Qual é o teu negócio?
O nome do teu sócio?
Confia em mim
Não me convidaram
Pra essa festa pobre
Que os homens armaram pra me convencer
A pagar sem ver
Toda essa droga
Que já vem malhada antes de eu nascer
Não me sortearam
A garota do Fantástico
Não me subornaram
Será que é o meu fim?
Ver TV a cores
Na taba de um índio
Programada pra só dizer ""sim, sim""
Brasil
Mostra a tua cara
Quero ver quem paga
Pra gente ficar assim
Brasil
Qual é o teu negócio?
O nome do teu sócio?
Confia em mim
Grande pátria desimportante
Em nenhum instante
Eu vou te trair
(Não vou te trair)

© Warner Chappell / Editora Natasha
63188260"	pt
3	1	expected	"Amor fugaz
Verte con ella me hace mal
Saber que ocupa mi lugar
Saber que fuimos sólo y nada más
Un amor fugaz
Es que no entiendo aún tu adiós,
Pues lo que había entre tú y yo
Fue algo más dulce, tierno y pasional
Un amor fugaz
Sigue engañándote,
Sigue engañándola.
Me llevas en la piel
Y me vas a extrañar
Sigue engañándote,
Sigue engañándola
Yo te envenené
Con este amor fugaz
Nadie te hará jamás sentir
Lo que vivías junto a mí
Aunque lo intentes nunca olvidarás
Nuestro amor fugaz
Sigue engañándote,
sigue engañándola
Me llevas en la piel
Y me vas a extrañar
Sigue engañándote,
Sigue engañándola
Yo te envenené
Con este amor fugaz
Sigue engañándote,
Sigue engañándola
Me llevas en la piel
Y me vas a extrañar
Sigue engañándote,
Sigue engañándola
Yo te envenené
Con este amor fugaz
Sigue engañándote,
(sigue engañándola)
Me llevas en la piel
(y me vas a extrañar)
Sigue engañándote,
(sigue engañándola)
Yo te envenené
Con este amor fugaz
Sigue engañándote,
Sigue engañándola
Me llevas en la piel
Y me vas a extrañar
Sigue engañándote,
Sigue engañándola
Yo te envenené
Con este amor fugaz"	es
3	1	expected	"Hay algo que me está pasando y te quiero contar
No pasa a diario y por eso debes de aprovechar
Es algo, es algo bonito y te va a encantar
Quiero que tú abra bien los ojos, oídos y demás
Amore mio
Hoy me gustas más por algún motivo
Tal vez el mar se enamoró de la luna
Y así la ternura hoy no cabe en mí'
Hoy prefiero volar
Amore mio
En tres palabras
Quítame el frío del cuerpo y el alma
Y el corazón
Si me entiendes o no, dime, amore mio
Te noto aun distraído y no puede pasar
Y por si no estás entendiendo te vuelvo a explicar
Es algo, es algo bonito y te va a encantar
Yo que tú abra bien los ojos, oídos y demás
Amore mio
Hoy me gustas más por algún motivo
Talvez el mar se enamoró de la luna
Y así la ternura hoy no cabe en mí
Hoy prefiero volar
Amore mio
En tres palabras
Quitame el frío del cuerpo y el alma
Y el corazón, el corazón
Ya no se de qué otra forma explicarte
Que hoy no quiero tus versos
Hoy quiero tus besos intensos
Sentirte, amarte y tocarte
Amore mio
Hoy me gustas más por algún motivo
Talvez el mar se enamoró de la luna
Y así la ternura hoy no cabe en mí
Hoy prefiero volar
Amore mio
En tres palabras
Quitame el frío del cuerpo y el alma
Y el corazón
Si me entiendes o no, dime, amore mio
Dime, amore mio?"	es
3	1	expected	"Día gris sin ilusión
Dónde va mi corazón
Necesito descansar
Este no es un día más
Sola, desolada, esperando al sol
Anímate que lo malo pasa
Así es la ley, esa es la verdad
Porque no hay mal que cien años dure
Espera con valor el día del amor
Qué más da, cómo te va
A veces bien, a veces mal
Nada que hacer, solo esperar y sabe Dios lo que vendrá
Sola, desolada, esperando al sol
Anímate que lo malo pasa
Así es la ley, esa es la verdad
Porque no hay mal que cien años dure
Espera con valor el día del amor
Oh, oh..
Oh, oh..
Sola, desolada, esperando al sol
Anímate que lo malo pasa
Así es la ley, esa es la verdad
Porque no hay mal que cien años dure
Espera con valor el día del amor..
El día del amor."	es
3	1	expected	"""Le doy todo mi amor
es todo lo que hago...
y si la vieras como yo...
la amarias tambien
la amo!
ella me lo da todo
y cariñosamente
el beso que mi amante da
me lo da a mi
y la amo
amores como el nuestro
nunca moriran
mientras que...
te tenga cerca de mi
brillantes son las estrellas que brillan
oscuro es el cielo
se que este amor mio
nunca morira
y la amo
brillantes son las estrellas que brillan
oscuro es el cielo
se que este amor mio
nunca morira
y la amo """	es
2	1	expected	"Medo de perder, medo de não conseguir
Perder o medo de arriscar
Tente compreender, tudo o que quiser fazer
A vida pode complicar
Tantos momentos importantes
Tudo o que faz você acreditar
Tantas histórias pra contar...
Medo de perder, de nunca me arrepender
Será que há solução não sei?
Parar pra pensar, pra tentar recomeçar
Com a cabeça no lugar
Tantos momentos importantes
Tudo o que faz você voltar atrás
Tantas histórias pra contar
Lembranças pra guardar
Coragem pra conseguir vencer
Dispostos a tudo, menos a perder (2x)
Tantos momentos importantes
Tudo o que faz você acreditar
Tantas histórias pra contar
Lembranças pra guardar
Tantos momentos importantes
Tudo o que faz você voltar atrás
Tantas histórias pra contar..."	pt
3	1	expected	"Esta vez no puedo continuar
sin tenerte junto a mi
cada vez que te pienso
siento ganas de que estes aqui
todavia no puedo olvidar
el momento en que te vi
sin saber que pensar
queria acercarme
y sin poderte hablar y te
senti y hasta hoy no he podido escapar
y me basto tan poco para quererte tanto
y sucedio que poco a poco me fui entregando
como saber como entender lo que senti cuando te vi
supe que no eras para mi
pero basto un segundo para entrar en tu mundo
yeah ! todavia no puedo olvidar
el momento en que te vi
cada vez que te pienso
siento ganas de que estes aqui
nada me costaba intentar
te tenia frente a mi
si esto no puedo ser
fue por destino
y sin poderte hablar y te
senti y hasta hoy no he podido escapar
y me basto tan poco para quererte tanto
y sucedio que poco a poco me fui entregando
como saber como entender lo que senti cuando te vi
supe que no eras para mi
pero basto un segundo para entrar en tu mundo
sin quererte amar me perdi
y hasta hoy no he podido escapar
y me basto tan poco para quererte tanto
y sucedio que poco a poco me fui entregando
como saber como entender lo que senti cuando te vi
supe que no eras para mi
pero basto un segundo para entrar en tu mundo
(Repetir)"	es
3	1	expected	"Yo creo que puedo hacerlo
Todos hoy dependen de mí
Y dejaré mi hogar
Por que hoy debo enfrentar
El bosque y todos sus peligros
Y evitar que sean comidos
En fin, que podría pasar, aah
Cielo azul, veo brillar el sol
Hay mariposas a mi alrededor
Señal de algo superfantástico
Será un día fantástico
Y mil maravillas va haber
Tengo un bolso de canciones que cantaré
Lo que sea que venga encararé, ¡lo haré!
Sorpresa y diversión en cada esquina
En arco iris viajo, todo va a estar bien
¡ey! hoy yo no me rendiré
Obstáculos no encontré
Y aunque tu me derribes, siempre me levantaré
Ohh, se que si algo sale mal
Sigo adelante y lo voy a enfrentar
Y aunque tu me derribes, siempre me levantaré
Uooh me levantaré uooh, uaah
Sola estoy yo
Con confianza voy
Serena como nieve
Y sin temor
Yo no había sentido esta emoción
¡es mucho tiempo ya!
Es una increíble aventura
En arco iris ¡viajo!
¿y que tal si es un enorme error?
¿que tal si es más fuerte que yo?
¡no! no lo creo no
Pues yo sé que en serio, en serio, en serio
Voy a ¡estar bien!
¡ey! hoy yo no me rendiré
Obstáculos no encontraré
Y aunque tu me derribes, siempre me levantaré
Ohh, se que si algo sale mal
Sigo adelante y lo voy a enfrentar
Y aunque tu me derribes, siempre me levantaré
Uooh me levantaré, uooh
¡estoy bien! uooh
Y aunque tu me derribes, si tú me derribas
Me levantare"	es
2	1	expected	"Ah meu amor, este suor enfermo
Blasfema meu erro, de faca em punho
Clareio teu rosto, te faço meu sonho
Pra que entre eu e tu não existam segredos
E se te peço perdão, é porquê te amo
E se te marco meu nome é porquê venero
A tua beleza, teu calor eterno
Salva este coração mundano
Ah meu amor, me faz oceano
Pra que dissolva em ti meu choro profano
Por ter cometido o pior dos enganos
Hoje sei, sem você amor, não sou vida,
Sou dor, amargura, vazio e ferida
Salva este coração mundano"	pt
1	1	expected	"You could lose your mind
easier than you would like to think
your best friend could up and leave you
playing tricks and cold deceive you
standing there people stare
let down by your own mind
Day of appreciation
for ways your mind has not yet let you down
the truth is that we will all go
maybe five minutes after the show
you know you are a shooting star
a blazing flash then gone
Are we advancing
or a collapsing visionary
are we really here
are we imaginary
as my thoughts separates
into the many frayed parts
torn shattered bits
my mind falling apart
Are we advancing
or a collapsing visionary
are we really here
are we imaginary
as my thoughts separates
into the many frayed parts
torn shattered bits
my mind falling apart
What if there was such a thing
what if thereâ€™s such a thing as dependence day
there's no self congratulation
just a day of appreciation
quietly humbly
for things that have not gone wrong
Imagine the frustration
of losing bearing of the simplest thing
so come with your best
and do your worst before
you canâ€™t remember what you came for
Are we advancing
or a collapsing visionary
are we really here
are we imaginary
as my thoughts separates
into the many frayed parts
torn shattered bits
my mind falling apart
Blazing out the mains
hungry flames consume all that I see
Are we advancing
or a collapsing visionary
are we really here
are we imaginary
as my thoughts separates
into the many frayed parts
torn shattered bits
my mind falling apart
Are we advancing
or a collapsing visionary
are we really here
are we imaginary
as my thoughts separates
into the many frayed parts
torn shattered bits
my mind falling apart."	en
3	1	expected	"Dulces para ti para ti mi nena que nunca nunca dejare dulces para ti para ti mi nene que nunca nunca dejare
Si tu quieres tener un dÃ­a soleado y un hermoso atardecer ven y mira que estoy enamorado por eso te quiero ofrecer mi nena
Dulces para ti para ti mi nena..
Si tu quieres la noche iluminada y un despejado atardecer ven y mira que estoy enamorada por eso te quiero ofrecer mi nene
Dulces para ti para ti mi nene..
dulces para ti para ti mi nene..
Se que quieres un mundo sin fronteras y un universo siempre en paz se que buscas un cielo con estrellas yo solo puedo regalar mi nena
Dulces para ti para ti mi nena..
Si un jardÃ­n quieres lleno de flores y un mar abierto verde azul te aconsejo aceptes mis amores mi nene mi nene siempre serÃ¡s tu te ofrezco
Dulces para ti para ti mi nene...."	es
3	1	expected	"Diga a verdade ao menos uma vez na vida
Você se apaixonou pelos meus erros
Não fique pela metade,
Vá em frente minha amiga
Destrua a razão deste beco sem saída
Diga a verdade ponha o dedo na ferida
Você se apaixonou pelos meus erros
E eu perdi as chaves, mas que cabeça minha
Agora vai ter que ser para toda vida
Somos o que há de melhor...
Somos o que dá pra fazer...
O que não dá pra evitar,
E não se pode escolher...
Se eu tivesse a força que você pensa que eu tenho
Eu gravaria no metal da minha pele o teu desenho
Feitos um pro outro
Feitos pra durar
Uma luz que não produz sombra
Somos o que há de melhor,
Somos o que dá pra fazer
O que não dá pra evitar,
E não se pode esconder..."	es
1	1	expected	"Don't pull my strings
I wanna know who died and crowned you king
You take this way too far and all your pain
Why do you take it out on me
You take it out on me, yeah
You're lighting up candles
Flying off the handle
Your crystal ball is lying
You can't control me
You can't hold me
Over your fire
No I'm not your voodoo doll
Not a victim strangled in your cloth
You think you got me underneath your spell
With your voodoo voodoo
You're playing dirty and your magic's black
I'm pulling needles out of my back
You think you cursed me but I won't fall
'cause I'm not your voodoo voodoo doll
You know you haunt my dreams
Your so called power is not what it seems
Your darkest hour is not mine to face
So don't you take it out on me
Take it out on me, yeah
You're lighting up candles
Flying off the handle
Your crystal ball is lying
You can't control me
You can't hold me
Over your dying fire
No I'm not your voodoo doll
Not a victim strangled in your cloth
You think you got me underneath your spell
With your voodoo voodoo
You're playing dirty and your magic's black
I'm pulling needles out of my back
You think you cursed me but I won't fall
'cause I'm not your voodoo voodoo doll
Don't pull my strings
I wanna know who died and crowned you king
No I'm not your voodoo doll
Not a victim strangled in your cloth
You think you got me underneath your spell
With your voodoo voodoo
You're playing dirty and your magic's black
I'm pulling needles out of my back
You think you cursed me but I won't fall
'cause I'm not your voodoo voodoo doll
Yeah
Your voodoo doll
Not your voodoo voodoo"	en
2	1	expected	"Tô na Rua
Tô na Rua
Tô na rua fim de semana
Não venha me pôr medo
Eu já saio um rochedo
Não te vi, não te conheço
Você tá falando grego
Esse filme eu já vi
Tô na rua
Tô na rua
Em toda esquinha tem cenário
E eu visível de otário
E ele servindo a nossa dor
Anoiteceu na minha tela
Pode apagar seu barco à vela
Esse filme eu já vi
Amanhaceu lá na calçada
Morreu de amor ou crackeada
De porrada ou viciada
Passo então a navalha na noite
Fatiando o que eu não vi
Passo então a navalha na noite
Esse filme eu já vi
Anoiteceu na minha garganta
Um mistério afogado frente à luz
Frente ao estado
Frente à cara do guri
Dei mais dois pra não sorrir
Esse filme eu já vi
Dei mais dois pra conhecer a vida
Esse filme eu não vi
Tô na rua..."	pt
