textid	text	label
11	When cockleshells turn silver bells Then will my love return to me Then will my love return to me Then will my love return to me Love return to me Love return to me Love return Love return Love return to me. In pastures green I shall be seen With my true love right by my side With my true love right by my side With my true love right by my side Love right by my side Love right by my side Love right by Love right by Love right by my side. When	Folk
12	I'll send away all my false pride And I'll forsake all of my life. Yes, I'll be as true, as true can be If you'll come and stay with me. Lovers of the past I'll leave behind, There'll never be another on my mind. I'll do all I can so you'll feel free If you'll come and stay with me. The promises I made most faithfully,	Folk
13	"The wild mountain thyme that grows around my door Has grown there for two score years or more And I've grown weary waiting for love to say ""Come my way, come my way."" The brook that sings and twinkles in the sun Has"	Folk
14	"The wild mountain thyme that grows around my door Has grown there for two score years or more But I've grown weary waiting for love to say, ""Come my way, come my way."" The brook that sings and twinkles in the sun Has"	Folk
15	Little months little smokes and oblivion in a wool dress in a door opens tenderly near a wall where the wind is born near the jolly garden where saints and angels are afraid of the seasons the alleys have no names they are the hours or the years I stroll leisurely dressed in a cement overcoat and a hat of black straw I don't remember if it's nice out I walk smoking and I smoke walking easily every once in a while I tell myself it's time to stop and I continue walking I tell myself I have to get some air I have to look at the clouds and breathe in a lung full I have to see the flies fly and take a little exercise I shouldn't smoke so much I tell myself also calculate I tell myself again I have a headache my life is a drop of water on my eyelid and I'm no longer twenty continue the songs are songs and the days days I no longer have one shred	Folk
16	Corrina, Corrina, gal where you been so long ? Corrina, Corrina, gal where you been so long ? I've been worryin' about you baby, baby please come home. I got a bird that whistles, I got a bird	Folk
17	Now is the glimmering spinning beginning Of something I've prayed for and counted the minutes To be in the shadows of sheltering meadows Of night, here with you in my arms. This is the moment that pauses to hold us As you and I move in a background of wonder, Surrounded by countless enclosures Of nocturnal unspoken music of joy. Counting times you have stood at the foot of my ivory tower And waited, and called out my name by the hour, And counted on the wings of my heartstrings To carry the sound, I have counted on pleading, You see how I need you, come down. And now between twilight and midnight I come to you, Down in my gown of soft moonbeams and starlight, Bright is the evening, the breezes have fenced us And nestled against us â€”	Folk
18	FAMILY Anna, so the papers say, Is now set up in Baltimore: Lots of folk seem to be shooting themselves for her. She must be near to the top and raking it in, To get in the news like that! Well, so far, so good; to be talked about Helps a young girl up the ladder. Let her beware of overdoing it! Some people might think she was mean; Folks shy away from a girl who's said to be mean;	Folk
19	This morning too didn't rise before noon She's a lazy lady today. Always young and new with your eyes on the moon, You're a crazy lady like you said. Crazy lady. Now should I	Folk
20	Hated by all and everywhere he goes Blazing contempt for human life and lies Murder as art and what he knows he knows from life and fear in other people's eyes Crazy love is all around me Love is crazy love is kind But I know somehow you'll find me Love is crazy love is blind She walks the boulevard without a care Knowing too much but having come so far Pretending life is just a game you play for nothing Loving no-one and no-where Crazy love is all around me Love goes crazy given time But	Folk
21	Oh Danny boy, the pipes, the pipes are calling From glen to glen, and down the mountain side The summer's gone, and all the roses falling. It's you, it's you, it's you must go and I must bide. But come ye back when summer's in the meadow, Or when the valley's hushed and white with snow, Yes, I'll be here in sunshine or in shadow, Oh Danny boy, oh Danny boy, I	Folk
22	Desperanto spoken here, Today I hear it everywhere, It is the language of Despair It's in your nails and It's in your hair It's in your mouth instead of air It's in your house It's in your heart It's in your mind It's everywhere It's in your heart It's in your heart It's in your blood It's in your prayer C'mon baby get over here It's in your mouth In your mouth In your mouth In your mouth It's in your mouth instead of air It's in your breath It's in your blood It's in your heart It's in your blood It's in your heart It's everywhere Everybody loves my baby Everybody loves my baby Everybody loves my baby now I know baby you don't care To speak in Desperanto here And I know you'd never dare To speak the language of despair C'mon baby get over here C'mon baby get over here It's in your mouth It's in your hair It's in your tiny little prayer It's in your tiny little	Folk
23	In the wintertime Keep your feet warm, Keep your clothes on And don't forget me. Keep the memory, But keep your powder dry, too. In the summer By the pool side While the fireflies Are all around me, I'll miss you when I'm lonely, I'll miss the alimony, too. Don't forget me, please don't forget me, Make it easy on me just for a little while. You know I'll think about you, Let me know	Folk
24	It seems the songs we're singing Are all about tomorrow, Tunes of promises that we can't keep. Every moment bringing A love I can only borrow, You're telling me lies in your sleep. Do you think I'm not aware Of what you're saying Or why you're saying it ? Is it hard to keep me where You want me staying ? Don't go on betraying. Don't make promises that you can't keep. We had a chance to find it, Our time	Folk
25	Down by the Salley Gardens My love and I did meet. She passed the Salley Gardens With little snow white feet. She bid me take life easy As the leaves grow on the trees. But I being young and foolish, With her did not agree. In a field by the river My love and I did stand. And on my healing shoulder She laid her snow	Folk
26	When you're alone And life is making you lonely You can always go Down town. When you've got worries All the noise and the hurry Seems to hurt, I know. Down town. Just listen to the music of the traffic in the city, Linger on the sidewalks where the neon signs are pretty. How can you lose ? The lights are much brighter there, You can forget all your troubles, forget all your cares And go down town. Things will be great when you're Down town. No finer place for sure, Down town. Everything's waiting for you. Don't hang around And let your problems surround you, There are movie shows Down town. Maybe you know Some little places to go To where they never close, Down town.	Folk
27	I hope that I won't be that lone anymore Maybe I've learned this time. I hope that I find what I'm reaching for, The way that is easin' my mind. Some day I'll get over you, I'll live to see it all through, But I'll always miss Dreamin' my dreams With you. But I won't let it change me, not if I can, I'd rather believe in love. I'll give it away as much as I can To those that I'm	Folk
28	Easy in the city, Easy in the mind. Easy in the city, Easy in the mind. Light is slanting sideways Sun is getting through. Gonna take a taxi Gotta get to you! Easy in the city, Easy in the rooms. Isn't it a pity Time goes by so soon ... Time goes by so soon. If I can find the secret in the green I'll let you know. And if you seek	Folk
29	"I know that woman in the mirror, not quite yours and not quite mine, Who she is can't say for sure, could be from another tide. She's the Queen of Sheba, my father's mother, Her face is low flying Africa. She says to me she is not me, So tell me, tell me who is she ? Tell me, tell me who is she ? You'd think she owns the streets of Dublin, They say she's king of Torquay island, She trades in piracy and sinning She knows where you go at night. And when you think you've finally reached her, She laughs and says, ""Babe, it's all right"". I know that woman in the mirror, that creature has my thoughts as eyes. He saw her once and then forgot her, she remembers all his lies, He spoke in secrets and in German kissed in tongues"	Folk
30	"ANNA I And the last big town we came to was San Francisco. Life, there, was fine, only Anna felt so tired And grew envious of others: Of those who pass the time at their ease and in comfort; Those too proud to be bought, Of those whose wrath is kindled by injustice, Those who act upon their impulses happily, Lovers true to their loved ones, And those who take what they need without shame; Whereupon I told my poor tired sister, When I saw how much she envied them: ""Sister, from birth we may write our own story, And anything we choose we are permitted to do, But the proud and insolent who strut in their glory â€” Little they guess, little they guess, Little they guess the fate they're swaggering to. Sister, be strong!"	Folk
31	Our revels now our ended, These are actors, as I foretold you, Were all spirits, and are melted into air, Into thin air. And like the baseless fabric of this vision, The cloud capp'd towers, the gorgeous palaces, The	Folk
32	ANNA I Now we're coming back to you, in Louisiana Where the moon on the Mississippi is a-shining ever. Seven years we've been away in the big towns Where you go to make	Folk
33	I know you're out there having a good time. Spaced out chicks, love potions and good wine. Don't make me laugh, you're not in there alone, There's other people's voices in the room. Don't hang up â€” I didn't mean it that way, No eye communication â€” always happens this way. How can I say what I mean, mean what I say ? No eye communication always happens that way. I know I shouldn't let it happen, There's no excuse â€” I felt so alone. You know how it is, our lure was meant to trap them â€” And then they find some poison of their own. Don't hang up â€” I didn't mean it that	Folk
34	Did he take you out dancing, holding you tight, Did he show you steps one, two, and three ? Did he leave you at your doorway, whispering good-night ? I wish I'd been there to see how he did it, I wish I'd been there to see. When you went on vacation to Paris and Rome, Did he show you how sweet life can be ? Did he make his reservation, exercised his rights ? I wish I'd been there to see how he did it, I wish I'd been there to see. What became of the night on a six cylinder charger With money to burn and a castle for two ? Now poor Cinderella will	Folk
35	Falling from grace, falling from grace, Lord, you have a pretty face. Take it away and pack it in a suitcase Then forget about falling from grace. Don't look at me like that, I never said a word. Don't ask me where I've been, I'll pretend I never heard. Don't put it in the paper â€” please, don't! I never said I will, I never said I won't. Falling from grace, falling from grace, Lord, you have a pretty face. Take it away and pack it in a suitcase Then forget about falling from grace. It's looking bad I know, I'm an outlaw Don't pity me, I never felt like this before. Please tell me you believe me, please say I'll get along without you â€” anyway. Falling from grace, falling from grace, Lord, you have a pretty face. Take it away and pack	Folk
36	I'm much too sentimental, My heart is never free. Perhaps it's accidental That love should come to me. Some little thing within me Protects me for a while Till someone comes to win me With only a smile. Falling in love again, Never wanted to. What am I to do ? Can't help it. Love's always	Folk
37	Oh, fare thee well, I must be gone And leave you for a while. If ever I go I will return If I go ten thousand miles. If I go If I go If I go ten thousand miles. Ten thousand miles it is so far To leave me here alone While I may lie lament and cry And you'll not hear my moan. And you No, you And you'll not hear my	Folk
38	Do you remember me, Do you remember anything ? Don't pretend I didn't make you laugh, File it under fun from the past. Well, I'm looking 'round the room Some of the people I've loved. Guess I remember everything File it under fun from the past. I could have been a contender, a contender for your love I would have given you everything if I only knew how. I would have given you everything if I only knew how, only knew how, I could have been a contender, a contender for your love. File it under fun from the past, File it under fun from the past. It was only you, it was always only you. I never saw what other people bought, I never cared what they thought. Well, I'm looking 'round the room, some of the people I've loved, Guess I remember everything. File it under fun from the past. You could have been a contender, a	Folk
39	The Summer dying September lives in flames. The sisters dancing No happy ending to the game. Don't bother to call me Think I'll stay here just the same. Flaming September What can you give me that is true ? Do you remember Do you remember Do you remember All the life I gave to you ? The Summer dying September lives in flames. My youth lies bruised and broken No happy ending	Folk
40	What are you takin' for beautie's sake What are you takin' for beautie's sake What are you takin' What are you takin' for beautie's sake What are you takin' for beautie's sake What are you takin' for beautie's sake What are you takin' What are you takin' for beautie's sake ? My heart's achin' 'cause I can't ignore you, My heart's breakin' 'cause I can't reward you What can I do ? 'Cause you stepped inside my soul Feel like you're dyin' for beautie's sake Say that you're lyin' for beautie's sake Who cares what you're feeling ? You've lost and you're dealing for beautie's sake. In your circle you hold supreme sway, Can you imagine not getting your own way ? What can I do 'Cause you stepped inside my soul ? What are you takin' for beautie's sake What are you takin' for beautie's sake What are you takin'	Folk
41	It comes as no surprise Your face filled with lies Hovers all around me in this room. Clouds hung with my dismay A hot bed where we lay Your every kiss tasting like a tomb. If time becomes a judge, If my body holds a grudge It's just because I needed sanctuary. Your skin under my nails My curiosity that failed To save myself for something that I need. I don't wanna bleed Or bruise up black and blue. Do I deserve these things All for wanting you ? Like some virgin with her cloth I play the goddess coming through Now I play the parting slave All for wanting you. We do things 'cause	Folk
42	Four strong winds that blow lonely, seven seas that run high; All those things that don't change, come what may. But our good times are all gone, and I'm bound for moving on. I'll look for you if I'm ever back this way. Think I'll go out to Alberta, weather's good there in the fall. Got some friends that I can stay with, working for. But I wish you'd change your mind, If I ask you one more time. But we've been through that a hundred times or more. Four strong winds that blow lonely, seven seas that run high; All those things that don't change, come	Folk
43	Full fathom five My father lies Of his bones all coral made Those are pearls that were his eyes Nothing of him but	Folk
44	FAMILY We've gotten word from Philadelphia Anna's doing well, she's making lots of money. Her contract has been signed to do a solo turn, It forbids her ever eating when or what she likes to eat, She likes to eat, she likes to eat. Those are hard terms for little Anna, Who has always been very greedy. Oh if she does not break her contract! There's no market for hippos in Philadelphia! Every single day they weigh her, Gaining half an ounce means trouble, They have principles to stand by: It's	Folk
45	Go away from my world, Let me dream alone. And you see it never worked from the start, All I got for all of my love was a broken heart. Go away from my world, And let me dream alone. I'll dry my eyes and comb my hair, And I'll pretend you're never there. Now you're gone the breezes	Folk
46	(Bert's Blues) I've been looking for a good guy For a long, long time. Been looking for a good guy, One to ease my mind As well as my time. I've been singing in the evening, Flying through the night. But I hurt my good guy, I hope he makes out right, Flying through the night. I've been picking up the sunshine, Been drinking down the rain. I've been picking up the sunshine, It makes me wonder when I'll see him again. You know time could bring a change, man, It ain't for me to say. You'll soon be out of range, man, This could only be the way It's meant to be. Fairy castle stark and black in the moonlight, The jingle jangle jester	Folk
47	Great expectations I have to find I want to tell you what it was like My recollection is not too clear So much hope and so much fear. Long conversations into the night Not like that, oh no, not so black and white The great temptation's to try and please you Play with you thought and mind and tease you If I could tell my story in a song I'd have to make it fast, yes it's very long Many shades of grey between the right and wrong.	Folk
48	Green are your eyes In the morning when you rise. Don't you be afraid, my love, To lie by me, Your father will not know. Love can be broken Though no words are spoken. Don't you be afraid to lie By me my love, Your father will not know.	Folk
49	Alas my love you do me wrong To cast me off discourteously For I have loved you so long Delighting in your company. Greensleeves was all my joy, Greensleeves was my delight. Greensleeves	Folk
50	I feel guilt, I feel guilt, Though I know I've done no wrong I feel guilt. I feel guilt, I feel guilt, Though I know I've done no wrong I feel guilt. I feel bad, so bad, Though I ain't done nothing wrong I feel bad. I feel bad, so bad, Though I ain't done nothing wrong I feel bad. I never lied to my lover, But if I did I would admit it. If I could get away with murder I'd take my gun and I'd commit it. I never gave to the rich, I never stole from the poor, I'm like a curious child, give me more, More, more, more, more, more, more. I feel blood, I feel blood, Though I	Folk
51	Am I 12, am I 104, I am the hanging man and that's for sure. I know for sure Follow your heart, Don't mess around, Follow your heart. Doesn't matter where you catch a start You take the future and you pin it, pin it hang it on your heart Wishing on a star No use your wishing on a star If you wanna know where to start, yeah, If you wanna know where to start, Hang it on your heart, Hang it on your heart. Double vison is the state of the art, Indecision tearing me apart. Don't fall apart, Follow your heart. Don't muck around, Follow your heart. Wishing on a star, Don't do	Folk
52	Am I 12, am I 104, I am the hanging man and that's for sure. I know for sure Follow your heart, Don't mess around, Follow your heart. Doesn't matter where you catch a start You take the future and you pin it, pin it hang it on your heart Kissing in the dark Don't do your kissing in the dark, If you wanna know where to start, yeah, If you wanna know where to start, Hang it on your heart. Double vison is the state of the art, Indecision tearing me apart. Don't fall apart, Follow your heart. Don't muck around, Follow your heart. Kissing in the dark, Don't do your kissing in the dark, If you	Folk
53	What can I say ? He's a-walking away From what we've seen. What can I do Still loving you ? It's all a dream. How can we hang on to a dream, How can it really be the way it seems ? What can I do ? He's a-saying we're through Without a word. What can I try ? I still don't see why He says what he	Folk
54	Do you hear What I hear, Or can I have been deceived ? Voices singing, Bells are ringing, They say He'll come back to me. Though he's gone, In my sleep As if he were here with me, He'll be back now, I can tell now, You'll see, He'll come back to me. Once more, once more, Tell me that he's still sure. I know, I know That he loves me much more And I'll be here waiting Until he comes back to me. There's one thing You should know: Just how much I	Folk
55	Hello stranger, hello stranger. Who is that person in the mirror ? It's not me. Whatever happened to the one that I used to be ? Is she just another fading memory ? Hello stranger,	Folk
56	[Version 1] There is a house in New Orleans, They call it the Risin' Sun And it's been the ruin Of many poor girl, And me, oh God, I'm one. There is a house in New Orleans, They call it the Risin' Sun And it's been the ruin Of many poor girl, And me, oh God, I'm one. If I had listened To what	Folk
57	There is a house in New Orleans, They call it the Risin' Sun And it's been the ruin Of many poor girl, And me, oh God, I'm one. If I had listened To what my mother said I'd have been at home today. But I was young and foolish, oh God, Let a rambler lead me astray. Go tell my baby sister Don't	Folk
58	How should I your true love know From the other one ? By his cockle hat and staff And his sandal shoon. He is dead and gone, Lady, He is dead	Folk
59	Oh I ain't going down I ain't going down Oh, honey to the well no more Oh. And I ain't got nothing Oh, and I can't stand nothing Oh. I ain't going down I ain't going down Oh,	Folk
60	I have a love and it's all that I have Right or wrong, what else can I do ? I love him, I'm his, And every thing he is I am, too. I have a love and he's all that I need, Right or wrong, and he needs me,	Folk
61	I saw three ships come sailing in On Christmas day, on Christmas day, I saw three ships come sailing in On Christmas day in the morning. And what was in those ships all three, On Christmas day, on Christmas day, And what was in those ships all three, On Christmas day in the morning ? Our Saviour, Christ, and His Lady, On Christmas day, on Christmas day, Our Saviour, Christ, and His Lady, On Christmas day in the morning. And all the bells	Folk
62	I'd like to dial your number again But I don't remember it so well. I'd like to see you again 'Cause I don't remember when I said I wouldn't see you again Been so long I don't remember when. I'd like to kiss you one more time Because I feel it might be different now. I'd like to	Folk
63	Close your eyes, close the door, You don't have to worry anymore. I'll be your baby tonight. Shut the light, shut the shade, You don't have to be afraid. I'll be your baby tonight. That mockingbird's going to sing away, We're gonna forget it. That big fat moon is gonna shine like a spoon But we're gonna let it, you	Folk
64	You will search, babe, At any cost But how long, babe, Can you search for what is not lost ? Everybody will help you, Some people are very kind. But if I can save you anytime Come on, give it to me, I'll keep it with mine. I can't help it If you might think I am odd, If I say I'm loving you Not for what you are but for	Folk
65	Of all the love I have won or have lost There is one love I should never have crossed. He was a boy in a million, my friend, I should have known he would win in the end. I'm a loser And I lost someone who's near to me. I'm a loser And I'm not what I appear to be. Although I laugh and I act like a clown, Beneath this mask I am wearing a frown. My tears are falling like rain from the sky, Is it for him or myself that I cry ? I'm a loser	Folk
66	What's happened to Blue Eyes, Has anyone seen him ? Don't anyone tell me That he gave up on me. I'm looking for Blue Eyes I gotta find him, I gotta know if, If he's been looking for me. There was a time Blue Eyes said he'd love no other, His one and only love, he swore at me. There was a time	Folk
67	I'm not Lisa, My name is Julie. Lisa left you Years ago. My eyes are not blue, But mine won't leave you Till the sunlight Has touched your face. She was your morning light, Her smile told of no night. Your love for her grew With each rising sun. And then one	Folk
68	I'm the sky 'Cause the sky doesn't sing in my song in the wind. I can dodge Both your eyes with my smile 'Cause I'm singing my song. It's love, it's mine, It's yours, it's life, It's free. It's love, it's mine, It's yours, it's life, It's free. Long ago I was blinded, my mind couldn't see The world's sorrow. Every place that I went in the stillness I left people alone. It's love, it's mine, It's yours, it's life, It's free. It's love, it's mine, It's yours, it's life, It's free. Till one day In the spring,	Folk
69	I was on the first ship to Peru, Charted all the courses like all sailors do, First to cross the Mason-Dixon line, Overseein' wetbacks for good California wine. And I've done it again, done it again, done it again. And I've done it again, done it again, done it again. I was there when Jan and Liford sang, First to feel the cold Alaskan white man, First to take a trip on LSD, First to vote for Roosevelt back in '33. And I've done	Folk
70	If I never get to love you It won't be that I didn't try. I'll be trying to possess you Till the day I die. If I never get to love you It won't be that I ran away. For as long as you will have me Close to you, I'll stay. What I wouldn't give to hold you tight Never, never let you out of sight Be the one you give your first kiss every morning, The last one you kiss goodnight. If I never get to love you It won't be	Folk
71	In my time of sorrow, In my time of feeling bad Oh what I'd give Just to relive All of the good times that I've had. In my time of sorrow In my time of feeling alone There was a time I could ease my mind With thoughts of just being on my own. Changes of	Folk
72	(Hampstead Incident) Standing by the Everyman, digging the rigging on my sail Rain to the sound of harpsichords, to the spell of fairy tale. The heath was hung in magic mist, enchanted dripping glades, I'll taste a taste until my mind drifts from this scene and fades In the night time. Crystals sparkles in the grass, I polish them with thought. On my lash there in my eye a star of light is caught. Fortunes told in grains of sand,	Folk
73	Do you remember me ? How we used to be helpless and happy and blind ? Sunk without hope in a haze of good dope and cheap wine ? Laying on the living-room floor on those Indian tapestry cushions you made Thinking of calling our first born Jasmine or Jade. Don't do it, don't do it, don't do it to me, Don't think about it, don't think about it, don't think about it, don't think about what it might be, Don't get up to open the door, just stay with me here on the floor, It's gonna get cold in the 1970's. You wouldn't listen, you thought you knew better, you just to had to speak to that man. Please believe me, I'll visit whenever I can. Laying in your little white room with	Folk
74	"Ahhhhhhhhhhh!!!!! Ahhhhhhhhhhhhhhhhhhh!!!!! I went out to the insane asylum And I found my baby out there. I said, ""Please, come back to me, darling, What in the world are you doing here ?"" Then my old man raised up his head, Tears were streaming down from his eyes, And these are the things that my old man said: ""When your love has ceased to be There's no other place for me. If you don't hold me in your arms I'd rather be here from now on. Some people have it half way there, Without your love I ain't nowhere."" Insane Asylum/The Stabbing Hands (not on LP) GR 10"" Crippled Dick Hotwax MS04381 limited to 1000 r 15 October 1996 ""I can't eat and I can't sleep, I can't even live in"	Folk
75	Intrigue â€” surrounding me Intrigue â€” surrounding you I was only looking for a bit of harmony and grace, I swear I only meant it in good faith. In league â€” enfolding you Fatigue â€” I feel it, too. I guess I never thought I had a thing or two to lose, I never thought I'd end up as good news. Believe in what you hear. Concede to what you fear. And if you think that	Folk
76	Now we move on, we move on a bit in time. Not much, but a little. We are now in Paris at the end of the Second World War, and the allies have come in and liberated Paris and everyone is having a wonderful time. It's full of Americans and English and Russians, and everybody. And there is a woman who during the war was a nurse, now she's a prostitute. I must admit I've always thought there is a	Folk
77	"There is a land that I can go to When I have time to rest. All the people I love are there And those who love me best. Then I heard the wind Calling from over the sea Saying, ""Ireland, Ireland, When will you be free ?"" ""Ireland, Ireland, When will you be free ?"" This land I go to when I'm tired And need to see and walk in green. The people who can laugh and drink And see things others have not seen. Then I heard the wind Calling from over the sea, Saying, ""Ireland, Ireland, When will you be free ?"" ""Ireland, Ireland, When will you be free ?"" There is another side"	Folk
78	The ones you want don't ever call And at he same time the others that call Are the ones you fear seeing at all. Irony, irony Irony, irony. Things aren't meant to be this clear It's not what you want, it's something you fear A silk screened image and nothing too clear. Irony, irony Irony, irony. At least you	Folk
79	There's been a lot of talk around That you've been seen with a certain party And now I'm so afraid I'm losing you. Oh baby, don't tell me you don't want my love, I couldn't give it to just anybody. Baby, won't you say it isn't true. Don't leave me, baby, Don't tell me it's over, After I trusted you and did my best To make you happy! Is this what I get for loving you, baby ? Is this what I get for loving you, baby ? There was a night when you held me tight And you said you'd always love me ... You said you'd always need me ... What will there be left for me ? It's such a cruel world to be alone in. I always needed you to look out for me. Oh baby, I'm gonna miss your loving arms 'Cause they're the only arms I feel at home in. Don't you know how lonely I'm gonna be ? Don't leave me, baby, Don't tell me it's over,	Folk
80	"Well, I ride on a mailtrain, baby, Can't buy a thrill. Well, I've been up all night, Leanin' on the window sill. Well, if I die On top of the hill And if I don't make it, You know my baby will. Don't the moon look good, mama, Shinin' through the trees ? Don't the brakeman look good, mama, Flagging down the ""Double E"""	Folk
81	As I sit here tonight, the jukebox playing That old song about the wild, wild side of life. As I listen to the words you are saying, It brings memories when I was a trusting wife. It wasn't God who made honky tonk angels As you say in the words of your song. Too many times married men think they're still single And that's caused many a good girl to go wrong. It's a shame that all the blame is on us women, It's not true that only you, men, feel the same. From the start most every heart that's been broken Was because there always was a man to blame. It wasn't God who made honky tonk angels As you said	Folk
82	You must leave now, take what you need, you think will last. But whatever you wish to keep, you'd better grab it fast. Yonder stands your orphan with his gun, Crying like a fire in the sun. Look out the saints are coming through And it's all over now, Baby Blue. The highway is for gamblers, better use your sense. Take what you have gathered from coincidence. The empty-handed painter from your streets Is drawing crazy patterns on your sheets. This sky, too, is folding under you And it's all	Folk
83	"'Twas brillig, and the slithy toves Did gyre and gimble in the wabe. All mimsey were the borogroves And the mome raths outgrabe. ""Beware the Jabberwock, my son! The jaws that bite, the claws that snatch! Beware the Jubjub bird, and shun The frumious Bandersnatch!"" He took his vorpal sword in hand: Long time the manxome foe he sought â€” He rested 'neath the Tumtum tree, And stood awhile in thought. And while in uffish thought he stood, The Jabberwock,"	Folk
84	Oh, don't sell me out, only love. You don't get it so well. Please tell someone Everything is gone Dream less of me, less to guess on you I felt so much Every tick and tussle Heart torn because it's a kissin time. So pass on by â€” You'll never find out I love someone else Find your God You'll find yourself But, he falls I'm confessing to you Just my guess It's a kissin time. He can't pass on you Oh no, I see far right through you. Please understand my kissin song Think for yourself, It's a lesson, guess it's kissin time. Heart torn because Parts of me I'd sell myself	Folk
85	Oh, Lady Madeleine, I miss you baby, I can't stand the pain. And I walk down the avenue And I think of you, Lady Madeleine. And MichÃ¨le, what will she do Without you, Lady Madeleine ? And I walk down the avenue And I'm missing you, Lady Madeleine. And Spanish Tony don't know what to do, He's missing you, darling Madeleine. His strange world has all fallen through And he wonders, was his love in vain ? And I think I might go quite insane With the scenes here Lady Madeleine. So I walk down the avenue And I miss you,	Folk
86	Lost his own, taken down all his songs till his all alone and all our love was harmed 'cept for you I'm only young, favourite son say you tried, take it back to where you belong and all the things you say still untrue We saw the green fields turn into homes such lonely homes We saw the green fields turn into homes such lovely homes Do what you want to do! I was digging up, sorting out, only to built a song alone till you came along but all my love was there just	Folk
87	How come you don't realise the shape you're in Sweatin' over lies to justify the naked sin within A spineless irritation from some time before When more than life was cursin' through my veins. You made me and you slayed me and you tortured me Laughing as you lay upon our bed of bloody love â€” and left me. Think about me, drink about me, I don't care, 'Cause now I realise the shape I'm in. If I was alive, I'd open up the gates for you, If I'd only cried aloud, I'd still be here. In my other life, I'm making plans for you, my dear, So come on babe, your time is drawing near. Across the	Folk
88	I'm just a lonely and a lonesome traveller I'm just a lonely and a lonesome traveller I'm just a lonely and a lonesome traveller I'm travelling on. Travelled in the mountains, travelled in the valley, Well, I've travelled in the mountains, travelled in the valley, Travelled in the mountains, travelled in the valley, I'm travelling on. I'm just a lonely and a lonesome traveller I'm just a lonely and a lonesome traveller I'm just a lonely and a lonesome traveller I'm travelling on. Travelled with the rich, I've travelled with the beggar, Well, I've travelled with the rich, I've	Folk
