textid	Language	text	target
301	en	"I flip when I kick it trippin it
So I can check shit not in a daily style
But once in every while so I can
File check file check the files of my brain
Many of meaning manage to come from the insane
And the butcher the baker the fabulous drama maker
A cracker on a truck goin' breaker breaker
Listen to everyone then disregard it
The maningful shit comes back back to where it started
In your cranium surrounded by pot like a geranuim
A capital 2 burns in my mind give me some peace
I looked at her I looked at him and neither one did know
Where the wild thoughts grow check it out
I look for absolutes and there absolutely none
The truth is what you shoot for not one
Nothing brings it all together the journeys never done
I'd sing you Stormy Weather but it's been sung so
Let's have some fun
Three Eleven hass grass roots
Challenge comes and goes and there will be another
I say bring it on
The roots that grow underground are as big as the tree
That you see if not it will fall down
We waste so many moments standing on convention
The only survey is when our heart pays no attention
Move with persistence cover much distance
Knowing no perdition that's my game for instance
Three Eleven true to no tradition
And the Three Eleven crew not dow with convention
But a hundred different people already told what we about
So I make not attempt to try and suss the stupid out
I'd turned into a roughneck that was not my intention
It doesn't even really matter unless I fail to mention that
Peace to all crews that want some peace
First the Mid then the West then we slide through the East
A piece to any crew that want a peice
But peace to all crews that want peace
Check it out."	Rock
1060	en	"I could stay awake just to hear you breathing
Watch you smile while you are sleeping
While you're far away and dreaming
I could spend my life in this sweet surrender
I could stay lost in this moment forever
Well, every moment spent with you
Is a moment I treasure
Don't wanna close my eyes
I don't wanna fall asleep
'Cause I'd miss you, babe
And I don't wanna miss a thing
'Cause even when I dream of you
The sweetest dream will never do
I'd still miss you, babe
And I don't wanna miss a thing
Lying close to you
Feeling your heart beating
And I'm wondering what you're dreaming
Wondering if it's me you're seeing
Then I kiss your eyes and thank God we're together
And I just wanna stay with you
In this moment forever, forever and ever
I don't wanna close my eyes
I don't wanna fall asleep
'Cause I'd miss you, babe
And I don't wanna miss a thing
'Cause even when I dream of you
The sweetest dream will never do
I'd still miss you, babe
And I don't wanna miss a thing
I don't wanna miss one smile
I don't wanna miss one kiss
Well, I just wanna be with you
Right here with you, just like this
I just wanna hold you close
Feel your heart so close to mine
And just stay here in this moment
For all the rest of time
Don't wanna close my eyes
I don't wanna fall asleep
'Cause I'd miss you, babe
And I don't wanna miss a thing
'Cause even when I dream of you
The sweetest dream will never do
I'd still miss you, babe
And I don't wanna miss a thing
I don't wanna close my eyes
I don't wanna fall asleep
'Cause I'd miss you, babe
And I don't wanna miss a thing
'Cause even when I dream of you
The sweetest dream will never do
I'd still miss you, babe
And I don't wanna miss a thing
Don't wanna close my eyes
Don't wanna fall asleep, yeah
I don't wanna miss a thing"	Rock
2205	en	"When I get home (from) work,
I wanna wrap myself around you.
I wanna take you and squeeze you
Til the passion starts to rise.
I wanna take you (to) the heaven.
That would make my day complete.
But you and me no movie stars.
What we are is what we are.
We share a bed,
Some lovin',
And Tv, yeah.
And that's enough for a workin' man.
What I am is what I am.
And I tell you, babe,
oh! that's enough for me.
Sometimes when you're asleep
And I'm just starin' at the ceiling,
I wanna reach out and touch you,
til just go on dreamin'.
If I could take you to heaven,
That would make my day complete.
But you and me no movie stars.
What we are is what we are.
We share a bed,
Some lovin',
And Tv, yeah.
That's enough for a workin' man.
What I am is what I am.
And I tell you, sweetheart
That's just enough for me.
You and me no super stars.
What we are is what we are.
We share a bed,
Some popcorn,
And Tv, yeah.
And that's enough for a workin' man.
What I am is what I am.
And I tell you, babe,
You're just enough for me.
When I get home (from) work,
I wanna wrap myself around you.
I like to hold you squeeze you
Til the passion starts to rise.
I wanna take you (to) the heaven.
That would make my day complete.
You and me no movie stars.
What we are is what we are.
We share a bed,
Of lovin',
And Tv, yeah.
And that's enough for a workin' man.
What I am well that's what I am.
I tell you, baby,
That's just enough for me."	Rock
225	en	"Before you're pointing at me,
There is a possibility,
You better turn that finger around
Defense comes easily
So don't you tread on me
Cause I will knock you down
Some days it seems it's not worth it
The fight in me is all gone
And I'm not trying to be perfect
To just get one damn thing done.
Before I lose control
I pick myself up off the floor.
Before you're pointing at me,
There is a possibility,
You better turn that finger around
Defense comes easily
So don't you tread on me
Cause I will knock you down
Never come a day that’ll solve you
Consequently I could never leave you
In the shadow of those living battleships, I love our canoe
I’m ready for the falls and the still waters we will find our true
Oh there’s a clock in my head
And despite what it said
Another one in the wall
We don’t agree at all
And this just gives ‘em to me
And despite what you see
You must see me as calm, but I don’t wanna give up.
Before you're pointing at me,
There is a possibility,
You better turn that finger around
Defense comes easily
So don't you tread on me
Cause I will knock you down
Woah
Ohh in the comfort of strangers
You don’t see the danger of just letting it flow
This I know.
Before you're pointing at me,
There is a possibility,
You better turn that finger around
Defense comes easily
So don't you tread on me
Cause I will knock you down"	Rock
1693	en	"You and me we're cut from the same cloth
It seems to some we famously get along
But you and me are strangers to each other
Cuz you and me: competitive to the bone
Such tragedy to trample on each other with how much
We've endured
With the state this land is in
You and me feel joined by only gender
We are not all for one and one for all
Sister blister we fight to please the brothers
We think their acceptance is how we win
They're happy we're climbing over each other
To beg the club of boys to let us in
You and me estranged from the mother
You and me have felt impotent in our skin
You and me have taken it out on each other
You and me disloyal to the feminine
Such a pity to disavow each other with how far we've come
With how strong we've been
You and me are on this pendulum together
You and me with scarcity still fueling
Sister blister we fight to please the brothers
We think their acceptance is how we win
They're happy we're climbing over each other
To beg the club of boys to let us in
We may not have priorities same
We may not even like each other
We may not be hugely anti-men
But such a cost to dishonor a sister
You and me have made it harder for the other
We forget how hard separatism has been
You and me we can help change their minds together
You and me in alignment until the end
Sister blister we fight to please the brothers
We think their acceptance is how we win
They're happy we're climbing over each other
To beg the club of boys to let us in"	Rock
1045	en	"Maybe I got it wrong
How did I turn you off?
Cause now you're out of my reach
Maybe I played too safe
How did I pull away?
Am I too blinded to see?
I'd been hoping you'd catch up somehow
Like I'm way too far ahead
Every time I think I'm gaining ground
I'm misunderstood again
I thought that I said it
In the things that I didn't say
I thought that you felt it
In the games that I didn't play
So let the record show
I never let you go
Can we get back on track?
Oh, I thought that I said it
In the things that I didn't say
Ooh-ooh (hey hey) , ooh-ooh (hey hey) , ooh-ooh (hey hey)
In the things that I didn't say
Ooh-ooh (hey hey) , ooh-ooh (hey hey) , ooh-ooh (hey hey)
In the things that I didn't say
What if I shout it out?
What if I take a vow?
Wouldn't you think it's too much?
What do you want from me?
Thought it was going deep
Guess it was never enough
I'd been hoping you'd catch up somehow
Like I'm way too far ahead
Every time I think I'm gaining ground
I'm misunderstood again
I thought that I said it
In the things that I didn't say
I thought that you felt it
In the games that I didn't play
So let the record show
I never let you go
Can we get back on track?
Oh, I thought that I said it
In the things that I didn't say
Ooh-ooh (hey hey) , ooh-ooh (hey hey) , ooh-ooh (hey hey)
In the things that I didn't say
Ooh-ooh (hey hey) , ooh-ooh (hey hey) , ooh-ooh (hey hey)
In the things that I didn't say
I thought I told you (in the things, in the things)
I thought I told you (in the things, in the things)
I thought I told you (in the things, in the things)
(In the things, in the things)
I thought that I said it
In the things that I didn't say
I thought that you felt it
In the games that I didn't play
So let the record show
I never let you go
Can we get back on track?
Oh, I thought that I said it
In the things that I didn't say
Ooh-ooh (hey hey) , ooh-ooh (hey hey) , ooh-ooh (hey hey)
In the things that I didn't say
Ooh-ooh (hey hey) , ooh-ooh (hey hey) , ooh-ooh (hey hey)
In the things that I didn't say"	Pop
1218	en	"The streets were cold and barren
The nights were dark and dank
And the sky, hadn't had a rain cloud in it for 25 years....
The buildings were dead and the alleys
Stunk from things that used to live there
Ahhh that wasn't the city I remembered
A Child in the street, barefoot pullin' at his
Mama's tattered coattails: like a rat dogs existence
With not a scrap left on the plate
And so much like a fable, their lives so unstable
Cause the only thing left was their faith
And there sure as hell ain't much I can do
About it....
There's a Meltdown in the sky
There's a new day comin' and I don't know why
There's a fear that gets me high
And the cold night numbs as the Jet Black clouds roll on by....
So sad was the scene that my eyes did behold
Made me wonder just who was the foe
And was it all to come true what Nostradamus
Had predicted such a long long time ago?
You could hear screams and moanin'
From the people atoning
For their sins of a guilt ridden life
And the final door shuts
From the wind that leaves cuts
From the edge on the blade of God's knife
And there sure as hell ain't much I can do about....
There's a Melt Down in the Sky
There's a new day comin and I don't know why
There's a tear stuck in my eye
There's a new day comin' and I don't know why
Battle lines had been drawn
Mother nature how she cried
By her side, till the dawn
Couldn't kill her if they tried
How they tried, open eyed, genocide
Then..
she died
Battle lines had been drawn
Mother nature how she cried
By her side, till the dawn
Couldn't kill her if they tried
How they tried, open eyed, genocide
Then..
she died
There's a Meltdown in the sky
There's a new day comin' and I don't know why
There's a fear that gets me high."	Rock
956	en	"Alone in the dark
Hole in my heart
Turn on the radio
And the words fall out
But they got no place to go
Wasted on you
High on the fumes
Know I should let you go
But the world won't stop
And all I got is your ghost
Another day, another lonely night
I would do anything to have you by my side
Another day, another lonely night
No time to sleep
All that I see
Are old memories of you
Yeah I try my best
But there's no one left for me to lose
Tear in my eye
I drive through the night
As far as I can from you
And I don't give a fuck if the sun comes up
Yeah, it's just another
Another day, another lonely night
I would do anything to have you by my side
Tear in my eye
I drive through the night
As far as I can from you
And I don't give a damn if the sun comes up
I would do anything to have you by my side"	Pop
2869	en	"Well, the mourning was complete
There was tears on the steering wheel dripping on the seat
Several hours or several weeks
I'd have the cheek to say they're equally as bleak
It's the beginning of the end
The car went up the hill
And disappeared around the bend
Ask anyone, they'll tell you that
It's these times that it tends
To start to breaking up
To start to fall apart
Hold on to your heart
Do me a favour
And break my nose
Do me a favour
And tell me to go away
Do me a favour
And stop asking questions
She walked away, well, her shoes were untied
And the eyes were all red
You could see that we've cried
And I watched and I waited 'till she was inside
Forcing a smile and waving goodbye
Curiousity becomes a heavy load
Too heavy to hold
Too heavy to hold
Curiousity becomes a heavy load
Too heavy to hold
Will force you to be cold
""And do me a favour and ask if you need some help""
She said
""Do me a favour and stop flattering yourself""
How to tear apart the ties that bind
Perhaps fuck off might be too kind
Perhaps fuck off might be too kind"	Rock
2961	en	"Take a little walk to the edge of town
Go across the tracks
Where the viaduct looms,
like a bird of doom
As it shifts and cracks
Where secrets lie in the border fires,
in the humming wires
Hey man, you know
you're never coming back
Past the square, past the bridge,
past the mills, past the stacks
On a gathering storm comes
a tall handsome man
In a dusty black coat with
a red right hand

He'll wrap you in his arms,
tell you that you've been a good boy
He'll rekindle all the dreams
it took you a lifetime to destroy
He'll reach deep into the hole,
heal your shrinking soul
Hey buddy, you know you're
never ever coming back
He's a god, he's a man,
he's a ghost, he's a guru
They're whispering his name
through this disappearing land
But hidden in his coat
is a red right hand

You ain't got no money?
He'll get you some
You ain't got no car? He'll get you one
You ain't got no self-respect,
you feel like an insect
Well don't you worry buddy,
cause here he comes
Through the ghettos and the barrio
and the bowery and the slum
A shadow is cast wherever he stands
Stacks of green paper in his
red right hand

(Organ solo)

You'll see him in your nightmares,
you'll see him in your dreams
He'll appear out of nowhere but
he ain't what he seems
You'll see him in your head,
on the TV screen
And hey buddy, I'm warning
you to turn it off
He's a ghost, he's a god,
he's a man, he's a guru
You're one microscopic cog
in his catastrophic plan
Designed and directed by
his red right hand"	Rock
2200	en	"I'm a shock-rock romeo
I like to leave 'em shattered
Oh, I can love 'em and leave 'em
It doesn't really matter
I never met my match
Until I met that lady
She hooked me
She cooked me
She practically filleted me
Some girls try and get you in bed
Some girls are like a kick in the head
Some girls make you wish you were dead
Some girls make you blue when you should be seeing red
She's a woman
Some kind of woman
I got a woman
A woman of mass distraction
The first time I saw her
She said she wants to date me
The next time I come back she tried to castrate me
Some girls try and get you in bed
Some girls are like a kick in the head
Some girls make you wish you were dead
Some girls make you blue when you should be seeing red
She's a woman
Some kind of woman
I got a woman
A woman of mass distraction
She's a woman
Some kind of woman
I got a woman
She's a woman
She's a woman
Some kind of woman
She's a woman
Some kind of woman"	Rock
98	en	"It starts with pain, followed by hate
Fueled by the endless questions no one can answer
A stain covers your heart and tears you apart
Just like a sleeping cancer
I don't believe men are born to be killers
I don't believe the world can be saved
How did you get here and when did it start?
An innocent child with a thorn in his heart
What kind of world do we live in?
Where love is divided by hate
Loosing control of our feelings
We all must be dreaming this life away
In a world so cold
Are you sane, where's the shame?
A moment of time passes by you cannot rewind
Who's to blame and where did it start?
Is there a cure for your sickness
Have you no heart?
I don't believe men are born to be killers
I don't believe the world can't be saved
How did you get here and when did it start?
An innocent child with a thorn in his heart
What kind of world do we live in?
Where love is divided by hate
Selling our soul for no reason
We all must be dreaming this life away
In a world so cold, In a world so cold
There's a sickness inside you that wants to escape
It's a feeling you get when you can't find your way
So how many times must you fall to your knees?
Never, never, never, never, never do this again
It starts with pain, followed by hate
No I don't believe men are born to be killers
I don't believe that the world can't be saved
What kind of world do we live in
Where love is divided by hate
Losing control of our feeling
We're dreaming this life away
What kind of world do we live in
Where love is divided by hate
Selling our soul for no reason
We all must be dreaming this life away
In a world so cold
In a world so cold"	Rock
2557	en	"How long will you cower down
Until you come to see
That courage is the higher ground
That changes destiny
Now only those who dare to win
With no fear of no rewards
The time has come to rise again
You were meant to be much more
Somehow, somehow
It's like poison in your veins
Oh, it's the beast you cannot tame
The way you let your fear burrow inside
Will chew you up and spit you out in time
Release the poison in your veins right now
Right now, oh
Everything that could have been
Has only failed to be
Cause you've wasted all your precious time
You were too afraid to dream
Well, damn it all to hell I say
Don't you waste another day
It's time for you to own it now
The world is yours to take
Right now
It's like poison in your veins
Oh, it's the beast you cannot tame
The way you let your fear burrow inside
Will chew you up and spit you out in time
So release the poison in your veins
So come on, bleed it out, it's not too late
What you choose to see is falling short
It's time for you to rise and be much more
Don't waste another day
Don't let it slip away
The world is all yours to take
If only you could change
It's like poison in your veins
Oh, it's the beast you cannot tame
The way you let your fear burrow inside
Will chew you up and spit you out in time
So release the poison in your veins
Come on, bleed it out, it's not too late
What you choose to see is falling short
It's time for you to rise and be much more
Release the poison in your veins right now
Right now
Right now
Right now"	Metal
1648	en	"What's the matter Mary Jane, you had a hard day
As you place the don't disturb sign on the door
You lost your place in line again, what a pity
You never seem to want to dance anymore
It'sa long way down
On this roller coaster
The last chance streetcar
Went off the track
And you're on it
I hear you're counting sheep again Mary Jane
What's the point of trying' to dream anymore
I hear you're losing weight again Mary Jane
Do you ever wonder who you're losing it for
Well it's full speed baby
In the wrong direction
There's a few more bruises
If that's the way
You insist on heading
Please be honest Mary Jane
Are you happy
Please don't censor your tears
You're the sweet crusader
And you're on your way
You're the last great innocent
And that's why I love you
So take this moment Mary Jane and be selfish
Worry not about the cars that go by
All that matters Mary Jane is your freedom
Keep warm my dear, keep dry
Tell me
Tell me
What's the matter Mary Jane"	Rock
1154	en	"Oh, oh, oh
Oh, oh, oh
I'm a freedom fighter
And I hear your lies
Ain't no truth in your smile
Ain't no truth in your eyes
Well, the trail you leave on the blood-soaked ground
It's stains us all and it tears us down
The guns you carry and the bombs you make
Cause too many tears, too many hearts to break
Well I'm a freedom fighter
I'm a desperate man
I aim my camera
And I take us in
Well, I'm a freedom fighter
And I'm taking aim!
A child of war, a weapon of shame
There was once a time we believed your lies
Now you can't walk the streets cause you'll never survive
That's hell to pay if you don't give us right
One man's terror is another man's freedom's fight
Oh, oh, oh
Oh, oh, oh
Oh, oh, oh
Oh, oh, oh
Oh, oh, oh
Oh, oh, oh
And I'm a freedom fighter,
I'm gonna tear you apart
Yeah, I'm a freedom fighter
Yeah, I'm gonna break your heart!"	Rock
2255	en	"I could use some time to curl away
My aggression is where you stake your claim
Why I question this curve on which you grade
My conception, a joke or latest craze?
I try to get away, and yet I stick around
So fall and crawl away, and brush away loose ground
My intention, may I arrive at eight?
Lie and dream some, surprise you guys I'm late
All right, correction, forgetting something, wait
I try to get away, and yet I stick around
So fall and crawl away, and brush away loose ground
Brush away loose ground
Brush away
."	Rock
3108	en	"Since I was born
They couldn't hold me down
Another misfit kid
Another burned-out town
I never played by the rules
And I never really cared
My nasty reputation
Takes me everywhere
I look and see
It's not only me
So many others have stood where I stand
We are the young, so raise your hands
They call us problem child
We spend our lives on trial
We walk an endless mile
We are the youth gone wild
We stand and we won't fall
We're one and one for all
The writing's on the wall
We are the youth gone wild
Boss screamin' my ear 'bout who I'm s'posed to be
Get a three-piece Wall Street smile, and son you'll look just like me
I said ""Hey, man, there's somethin' you oughta know
Well I tellya Park Avenue leads to (Skid Row!)""
Well I look and see
It's not only me
We're standing tall, ain't never a doubt
We are the young, so shout it out
They call us problem child
We spend our lives on trial
We walk an endless mile
We are the youth gone wild
We stand and we won't fall
We're one and one for all
The writing's on the wall
We are the youth gone wild
Well lemme hear ya get wild!
They call us problem child
We spend our lives on trial
We walk an endless mile
We are the youth gone wild
We stand and we won't fall
We're one and one for all
The writing's on the wall
We are the youth gone wild
We are the youth gone wild!"	Metal
2049	en	"You can burn my house
You can cut my hair
You can make me wrestle naked
With a grizzly bear
You can poison my cat
Baby I don't care
But if you talk in the movies
I'll kill you right there
It's the little things
It's just the little things
Aw it's the little things
It's just the little things
Yeah it's the little things
That drive me wild
I'm like a mad dog
I'm on a short leash
I'm on a tight rope
Hanging by a thread
I'm on some thin ice
You push me too far
Welcome to my nightmare
No more Mr
Nice Guy
You can steal my car
And drive it into the lake
You can stick me in the oven
And put it on bake
You could throw a big brick
Through my window pane
But if I ever hear you ask me
How I got my name
It's the little things
It's just the little things
Aw it's the little things
It's just the little things
Yeah it's the little things
That drive me wild
I'm like a mad dog
I'm on a short leash
I'm on a tight rope
Hanging by a thread
I'm on some thin ice
You push me too far
Welcome to my nightmare
No more Mr
Nice Guy
I've done it all
I mean I been everywhere
I've been beaten
I been stabbed
I been hung
I been burried alive
And I can deal with that
But its the little things
I've done it all
I mean I been everywhere
I've been beaten
I been stabbed
I been hung
I been burried alive
And I can deal with that
Cuz its the little things
It's the little things
It's just the little things
Yeah it's the little things
Just the little things
Aw just the little things
That drive me wild
I'm like a mad dog
I'm on a short leash
I'm on a tight rope
Hanging by a thread
I'm on some thin ice
You push me too far
I'm just a psycho
Pathic psycho
Pathic
I'm like a mad dog
I'm on a short leash
I'm on a tight rope
Hanging by a thread
I'm on some thin ice
You push me too far
Welcome to my nightmare
No more Mr
Nice Guy
It's just the little things
Aw it's the little things
It's just the little things."	Rock
262	en	"I've got this feeling
I think it's comin' on too strong
Because the talk with which I'm dealin'
Really gets to be but not for long 'cause
Loose lips, loose lips, sink ships
Our kingdom that you'll be walkin' when the suckas start to talk fear
Rock ya thing
Rest with me
Don't tone it down cuz it be a crime
Yeah be a crime
I said it be a crime c'mon
You know I do just what comes natural
I ain't got to listen to no sour grapes
Spite folk who rave and rage and shit-talkin' eavesdroppin' told you so
you'll be sorry ya'll suckas
So Rock ya thing
Rest with me
Don't tone it down cuz it be a crime
Yeah be a crime
I said it be a dirty crime c'mon
One thing I know is that it be a crime
If it won't be I know is that it be a crime if you stayed
Rock ya thing
Rest with me
Don't tone it down cuz it be a crime
Yeah be a crime
I said it be a dirty crime c'mon
O it'd be a dirty crime
Yeah-eah-eah
And babe o
Girl you move me baby
You keep on walkin'
Why?
Crime"	Rock
1802	en	"you make me sick…
I’ll tear out those diamond eyes I can’t bear to see
crimson spills on paper skin…they call this tragedy
remembering the nights when you’d whisper to me soft,
“forever more my heart is yours”
realize those words have died
as the life fades from your eyes
all that I can say is it may not be too late
try again, make it perfect, make me worth it
or else die for all I care
if I can not be loved then none shall be
think of this as I softly kiss your blood glazed lips once more
on this night this thing you call love dies
your face disgusts me, smile and bear your lies
this broken trust will become your demise
as the life fades from your eyes
all that I can say is it may not be too late
try again, make it perfect, make me worth it
or else die for all I care
after today silence will haunt you
expect no forgiveness for your life will end tonight
now I grit my teeth and finish what I know must be done
to kill the memory of you…and you said this would be forever
as the life fades from your eyes
all that I can say is it may not be too late
try again, make it perfect, make me worth it
or else die for all I care

..
Cássio Bouvier =]"	Metal
